,,,,,2000,2010,2020,2030,2040,2050
ArgentinaReg,Barl,SPA0,SSP2,scenRCPref,38,38,38,38,38,38
ArgentinaReg,Cass,SPA0,SSP2,scenRCPref,47,67,87,95,96,97
ArgentinaReg,Corn,SPA0,SSP2,scenRCPref,3435,6255,8331,8889,9495,9514
ArgentinaReg,Cott,SPA0,SSP2,scenRCPref,11,17,22,25,25,25
ArgentinaReg,Gnut,SPA0,SSP2,scenRCPref,11,16,21,23,23,24
ArgentinaReg,Mill,SPA0,SSP2,scenRCPref,17,33,45,48,51,51
ArgentinaReg,Pota,SPA0,SSP2,scenRCPref,47,67,87,95,96,97
ArgentinaReg,Rape,SPA0,SSP2,scenRCPref,1,1,1,1,2,2
ArgentinaReg,Soya,SPA0,SSP2,scenRCPref,372,256,418,480,505,510
ArgentinaReg,Srgh,SPA0,SSP2,scenRCPref,1985,3763,5076,5427,5814,5827
ArgentinaReg,SugC,SPA0,SSP2,scenRCPref,1643,2347,3052,3338,3373,3399
ArgentinaReg,Sunf,SPA0,SSP2,scenRCPref,129,191,254,281,284,288
ArgentinaReg,Whea,SPA0,SSP2,scenRCPref,338,464,532,571,566,576
AustraliaReg,Barl,SPA0,SSP2,scenRCPref,1361,2115,2960,3464,3940,4184
AustraliaReg,BeaD,SPA0,SSP2,scenRCPref,,63,160,223,285,319
AustraliaReg,ChkP,SPA0,SSP2,scenRCPref,,185,468,651,832,931
AustraliaReg,Corn,SPA0,SSP2,scenRCPref,183,230,326,373,433,469
AustraliaReg,Cott,SPA0,SSP2,scenRCPref,7,12,20,24,29,32
AustraliaReg,Gnut,SPA0,SSP2,scenRCPref,0,1,1,1,1,1
AustraliaReg,Mill,SPA0,SSP2,scenRCPref,19,29,42,49,56,60
AustraliaReg,Pota,SPA0,SSP2,scenRCPref,132,180,253,292,336,361
AustraliaReg,Rape,SPA0,SSP2,scenRCPref,140,242,392,479,572,623
AustraliaReg,Soya,SPA0,SSP2,scenRCPref,194,248,350,401,465,502
AustraliaReg,Srgh,SPA0,SSP2,scenRCPref,843,1326,1884,2218,2536,2700
AustraliaReg,SugC,SPA0,SSP2,scenRCPref,1486,2017,2839,3276,3771,4052
AustraliaReg,Sunf,SPA0,SSP2,scenRCPref,26,45,73,90,107,117
AustraliaReg,SwPo,SPA0,SSP2,scenRCPref,0,0,0,0,1,1
AustraliaReg,Whea,SPA0,SSP2,scenRCPref,2276,3538,4951,5796,6591,6999
BrazilReg,Barl,SPA0,SSP2,scenRCPref,199,265,357,414,447,462
BrazilReg,BeaD,SPA0,SSP2,scenRCPref,160,200,255,289,309,318
BrazilReg,Cass,SPA0,SSP2,scenRCPref,10828,15661,22450,26750,29204,30376
BrazilReg,Corn,SPA0,SSP2,scenRCPref,24574,33709,47050,55539,60365,62694
BrazilReg,Cott,SPA0,SSP2,scenRCPref,37,123,233,304,340,363
BrazilReg,Gnut,SPA0,SSP2,scenRCPref,4,13,24,32,35,38
BrazilReg,Mill,SPA0,SSP2,scenRCPref,4,6,9,10,11,11
BrazilReg,Pota,SPA0,SSP2,scenRCPref,281,406,582,693,757,787
BrazilReg,Rape,SPA0,SSP2,scenRCPref,25,84,158,207,232,247
BrazilReg,Soya,SPA0,SSP2,scenRCPref,6442,7479,10695,12744,13845,14446
BrazilReg,Srgh,SPA0,SSP2,scenRCPref,735,1041,1426,1668,1792,1866
BrazilReg,SugC,SPA0,SSP2,scenRCPref,7522,10878,15595,18582,20286,21100
BrazilReg,Sunf,SPA0,SSP2,scenRCPref,83,275,521,680,761,813
BrazilReg,SwPo,SPA0,SSP2,scenRCPref,189,274,392,467,510,531
BrazilReg,Whea,SPA0,SSP2,scenRCPref,288,343,452,521,570,583
CanadaReg,Barl,SPA0,SSP2,scenRCPref,7937,7840,9343,10096,10601,10947
CanadaReg,BeaD,SPA0,SSP2,scenRCPref,14,22,44,54,61,65
CanadaReg,Cass,SPA0,SSP2,scenRCPref,2,2,3,3,3,4
CanadaReg,ChkP,SPA0,SSP2,scenRCPref,80,123,246,303,347,367
CanadaReg,Corn,SPA0,SSP2,scenRCPref,4532,4763,5753,6218,6545,6753
CanadaReg,Mill,SPA0,SSP2,scenRCPref,6,7,7,7,7,7
CanadaReg,Pota,SPA0,SSP2,scenRCPref,315,415,513,555,584,609
CanadaReg,Rape,SPA0,SSP2,scenRCPref,516,700,939,1031,1113,1133
CanadaReg,Soya,SPA0,SSP2,scenRCPref,1244,1542,1979,2155,2303,2354
CanadaReg,Srgh,SPA0,SSP2,scenRCPref,4,5,5,5,5,5
CanadaReg,SugC,SPA0,SSP2,scenRCPref,1069,1408,1740,1882,1981,2066
CanadaReg,Sunf,SPA0,SSP2,scenRCPref,27,36,49,54,58,59
CanadaReg,Whea,SPA0,SSP2,scenRCPref,3292,3512,4293,4648,4910,5050
ChinaReg,Barl,SPA0,SSP2,scenRCPref,1080,1325,1636,1809,1853,1797
ChinaReg,BeaD,SPA0,SSP2,scenRCPref,688,1602,2762,3411,3582,3377
ChinaReg,Cass,SPA0,SSP2,scenRCPref,3286,5372,7983,9522,9986,9611
ChinaReg,ChkP,SPA0,SSP2,scenRCPref,6,14,25,31,32,30
ChinaReg,Corn,SPA0,SSP2,scenRCPref,74548,118239,171942,204570,214982,208182
ChinaReg,Cott,SPA0,SSP2,scenRCPref,1288,2173,3280,3934,4132,3973
ChinaReg,Gnut,SPA0,SSP2,scenRCPref,414,698,1054,1264,1328,1277
ChinaReg,Mill,SPA0,SSP2,scenRCPref,987,1388,1896,2179,2253,2162
ChinaReg,Pota,SPA0,SSP2,scenRCPref,15092,24678,36671,43737,45872,44146
ChinaReg,Rape,SPA0,SSP2,scenRCPref,6961,11739,17723,21252,22322,21467
ChinaReg,Rice,SPA0,SSP2,scenRCPref,7588,16937,28810,35442,37193,35095
ChinaReg,Soya,SPA0,SSP2,scenRCPref,13517,20079,28331,33455,35191,34284
ChinaReg,Srgh,SPA0,SSP2,scenRCPref,1766,2483,3392,3898,4030,3867
ChinaReg,SugC,SPA0,SSP2,scenRCPref,11188,18294,27185,32423,34005,32727
ChinaReg,Sunf,SPA0,SSP2,scenRCPref,499,842,1271,1524,1601,1540
ChinaReg,SwPo,SPA0,SSP2,scenRCPref,56808,92889,138031,164628,172663,166169
ChinaReg,Whea,SPA0,SSP2,scenRCPref,5471,6820,8589,9586,9862,9565
CongoBasin,Cass,SPA0,SSP2,scenRCPref,441,354,924,3369,8064,15277
CongoBasin,Corn,SPA0,SSP2,scenRCPref,66,82,164,298,540,968
CongoBasin,Cott,SPA0,SSP2,scenRCPref,11,9,30,105,250,483
CongoBasin,Gnut,SPA0,SSP2,scenRCPref,52,41,142,504,1202,2318
CongoBasin,Mill,SPA0,SSP2,scenRCPref,4,5,8,14,21,29
CongoBasin,Pota,SPA0,SSP2,scenRCPref,26,21,55,201,481,912
CongoBasin,Soya,SPA0,SSP2,scenRCPref,3,8,19,35,58,82
CongoBasin,Srgh,SPA0,SSP2,scenRCPref,19,28,44,72,112,153
CongoBasin,SugC,SPA0,SSP2,scenRCPref,387,311,811,2958,7081,13415
CongoBasin,SwPo,SPA0,SSP2,scenRCPref,5,4,12,42,101,190
EU_Baltic,Barl,SPA0,SSP2,scenRCPref,1057,1845,1850,2017,2236,2349
EU_Baltic,BeaD,SPA0,SSP2,scenRCPref,4,21,48,101,150,131
EU_Baltic,Cass,SPA0,SSP2,scenRCPref,1,1,2,2,3,2
EU_Baltic,ChkP,SPA0,SSP2,scenRCPref,0,1,1,2,4,3
EU_Baltic,Corn,SPA0,SSP2,scenRCPref,2,,,,,0
EU_Baltic,Gnut,SPA0,SSP2,scenRCPref,1,1,2,3,5,4
