Var,Unit,Reg,Item,Macro,Year,Val
NUTR,kcal/cap/d,ANZ,TOT,SSP2,2000,3037.4
NUTR,kcal/cap/d,ANZ,TOT,SSP2,2010,3080.9
NUTR,kcal/cap/d,ANZ,TOT,SSP2,2020,3126.8
NUTR,kcal/cap/d,ANZ,TOT,SSP2,2030,3170.9
NUTR,kcal/cap/d,ANZ,TOT,SSP2,2040,3201.3
NUTR,kcal/cap/d,ANZ,TOT,SSP2,2050,3221.6
NUTR,kcal/cap/d,ANZ,BVMEAT,SSP2,2000,127.4
NUTR,kcal/cap/d,ANZ,BVMEAT,SSP2,2010,126.4
NUTR,kcal/cap/d,ANZ,BVMEAT,SSP2,2020,120.8
NUTR,kcal/cap/d,ANZ,BVMEAT,SSP2,2030,117.2
NUTR,kcal/cap/d,ANZ,BVMEAT,SSP2,2040,113.4
NUTR,kcal/cap/d,ANZ,BVMEAT,SSP2,2050,110.7
NUTR,kcal/cap/d,ANZ,SGMEAT,SSP2,2000,124.7
NUTR,kcal/cap/d,ANZ,SGMEAT,SSP2,2010,101.8
NUTR,kcal/cap/d,ANZ,SGMEAT,SSP2,2020,97.9
NUTR,kcal/cap/d,ANZ,SGMEAT,SSP2,2030,95.4
NUTR,kcal/cap/d,ANZ,SGMEAT,SSP2,2040,92.9
NUTR,kcal/cap/d,ANZ,SGMEAT,SSP2,2050,89.8
NUTR,kcal/cap/d,ANZ,PGMEAT,SSP2,2000,94.4
NUTR,kcal/cap/d,ANZ,PGMEAT,SSP2,2010,104.1
NUTR,kcal/cap/d,ANZ,PGMEAT,SSP2,2020,109.5
NUTR,kcal/cap/d,ANZ,PGMEAT,SSP2,2030,112.8
NUTR,kcal/cap/d,ANZ,PGMEAT,SSP2,2040,115.2
NUTR,kcal/cap/d,ANZ,PGMEAT,SSP2,2050,117.1
NUTR,kcal/cap/d,ANZ,PTMEAT,SSP2,2000,131.6
NUTR,kcal/cap/d,ANZ,PTMEAT,SSP2,2010,155.6
NUTR,kcal/cap/d,ANZ,PTMEAT,SSP2,2020,178
NUTR,kcal/cap/d,ANZ,PTMEAT,SSP2,2030,193.4
NUTR,kcal/cap/d,ANZ,PTMEAT,SSP2,2040,205
NUTR,kcal/cap/d,ANZ,PTMEAT,SSP2,2050,213.7
NUTR,kcal/cap/d,ANZ,ALMILK,SSP2,2000,354
NUTR,kcal/cap/d,ANZ,ALMILK,SSP2,2010,349
NUTR,kcal/cap/d,ANZ,ALMILK,SSP2,2020,355.7
NUTR,kcal/cap/d,ANZ,ALMILK,SSP2,2030,361.3
NUTR,kcal/cap/d,ANZ,ALMILK,SSP2,2040,366.7
NUTR,kcal/cap/d,ANZ,ALMILK,SSP2,2050,371.6
NUTR,kcal/cap/d,ANZ,PTEGGS,SSP2,2000,25.1
NUTR,kcal/cap/d,ANZ,PTEGGS,SSP2,2010,29.8
NUTR,kcal/cap/d,ANZ,PTEGGS,SSP2,2020,32.2
NUTR,kcal/cap/d,ANZ,PTEGGS,SSP2,2030,34.2
NUTR,kcal/cap/d,ANZ,PTEGGS,SSP2,2040,35.7
NUTR,kcal/cap/d,ANZ,PTEGGS,SSP2,2050,36.9
NUTR,kcal/cap/d,ANZ,BARL,SSP2,2000,0.3
NUTR,kcal/cap/d,ANZ,BARL,SSP2,2010,0.3
NUTR,kcal/cap/d,ANZ,BARL,SSP2,2020,0.3
NUTR,kcal/cap/d,ANZ,BARL,SSP2,2030,0.3
NUTR,kcal/cap/d,ANZ,BARL,SSP2,2040,0.3
NUTR,kcal/cap/d,ANZ,BARL,SSP2,2050,0.3
NUTR,kcal/cap/d,ANZ,CORN,SSP2,2000,33.2
NUTR,kcal/cap/d,ANZ,CORN,SSP2,2010,32.8
NUTR,kcal/cap/d,ANZ,CORN,SSP2,2020,32.9
NUTR,kcal/cap/d,ANZ,CORN,SSP2,2030,33.3
NUTR,kcal/cap/d,ANZ,CORN,SSP2,2040,33.4
NUTR,kcal/cap/d,ANZ,CORN,SSP2,2050,33.4
NUTR,kcal/cap/d,ANZ,GNUT,SSP2,2000,20.8
NUTR,kcal/cap/d,ANZ,GNUT,SSP2,2010,20.2
NUTR,kcal/cap/d,ANZ,GNUT,SSP2,2020,20
NUTR,kcal/cap/d,ANZ,GNUT,SSP2,2030,20
NUTR,kcal/cap/d,ANZ,GNUT,SSP2,2040,20.1
NUTR,kcal/cap/d,ANZ,GNUT,SSP2,2050,20
NUTR,kcal/cap/d,ANZ,POTA,SSP2,2000,93.9
NUTR,kcal/cap/d,ANZ,POTA,SSP2,2010,94.7
NUTR,kcal/cap/d,ANZ,POTA,SSP2,2020,96.1
NUTR,kcal/cap/d,ANZ,POTA,SSP2,2030,96.9
NUTR,kcal/cap/d,ANZ,POTA,SSP2,2040,97.6
NUTR,kcal/cap/d,ANZ,POTA,SSP2,2050,98.2
NUTR,kcal/cap/d,ANZ,RAPE,SSP2,2000,1.2
NUTR,kcal/cap/d,ANZ,RAPE,SSP2,2010,1.1
NUTR,kcal/cap/d,ANZ,RAPE,SSP2,2020,1.1
NUTR,kcal/cap/d,ANZ,RAPE,SSP2,2030,1.2
NUTR,kcal/cap/d,ANZ,RAPE,SSP2,2040,1.2
NUTR,kcal/cap/d,ANZ,RAPE,SSP2,2050,1.2
NUTR,kcal/cap/d,ANZ,RICE,SSP2,2000,78.6
NUTR,kcal/cap/d,ANZ,RICE,SSP2,2010,78.6
NUTR,kcal/cap/d,ANZ,RICE,SSP2,2020,78.6
NUTR,kcal/cap/d,ANZ,RICE,SSP2,2030,78.6
NUTR,kcal/cap/d,ANZ,RICE,SSP2,2040,78.6
NUTR,kcal/cap/d,ANZ,RICE,SSP2,2050,78.5
NUTR,kcal/cap/d,ANZ,SOYA,SSP2,2000,1.2
NUTR,kcal/cap/d,ANZ,SOYA,SSP2,2010,1.1
NUTR,kcal/cap/d,ANZ,SOYA,SSP2,2020,1.1
NUTR,kcal/cap/d,ANZ,SOYA,SSP2,2030,1.2
NUTR,kcal/cap/d,ANZ,SOYA,SSP2,2040,1.2
NUTR,kcal/cap/d,ANZ,SOYA,SSP2,2050,1.2
NUTR,kcal/cap/d,ANZ,SUNF,SSP2,2000,0.2
NUTR,kcal/cap/d,ANZ,SUNF,SSP2,2010,0.2
NUTR,kcal/cap/d,ANZ,SUNF,SSP2,2020,0.2
NUTR,kcal/cap/d,ANZ,SUNF,SSP2,2030,0.2
NUTR,kcal/cap/d,ANZ,SUNF,SSP2,2040,0.2
NUTR,kcal/cap/d,ANZ,SUNF,SSP2,2050,0.3
NUTR,kcal/cap/d,ANZ,SWPO,SSP2,2000,3.5
NUTR,kcal/cap/d,ANZ,SWPO,SSP2,2010,15.9
NUTR,kcal/cap/d,ANZ,SWPO,SSP2,2020,16.9
NUTR,kcal/cap/d,ANZ,SWPO,SSP2,2030,17.2
NUTR,kcal/cap/d,ANZ,SWPO,SSP2,2040,17.5
NUTR,kcal/cap/d,ANZ,SWPO,SSP2,2050,17.7
NUTR,kcal/cap/d,ANZ,WHEA,SSP2,2000,557.5
NUTR,kcal/cap/d,ANZ,WHEA,SSP2,2010,551.2
NUTR,kcal/cap/d,ANZ,WHEA,SSP2,2020,549.8
NUTR,kcal/cap/d,ANZ,WHEA,SSP2,2030,554.1
NUTR,kcal/cap/d,ANZ,WHEA,SSP2,2040,552.7
NUTR,kcal/cap/d,ANZ,WHEA,SSP2,2050,551.2
NUTR,kcal/cap/d,ANZ,CASS,SSP2,2000,0.2
NUTR,kcal/cap/d,ANZ,CASS,SSP2,2010,0.2
NUTR,kcal/cap/d,ANZ,CASS,SSP2,2020,0.2
NUTR,kcal/cap/d,ANZ,CASS,SSP2,2030,0.2
NUTR,kcal/cap/d,ANZ,CASS,SSP2,2040,0.2
