Var,Unit,Reg,Item,Macro,Year,Val
CONS,1000 t,ANZ,ALMILK,SSP2,2000,8151.18
FOOD,1000 t,ANZ,ALMILK,SSP2,2000,5210
PROD,1000 t,ANZ,ALMILK,SSP2,2000,23598.211
OTHU,1000 t,ANZ,ALMILK,SSP2,2000,2941.18
CONS,1000 t,USA,ALMILK,SSP2,2000,79539.896
FOOD,1000 t,USA,ALMILK,SSP2,2000,73965.433
PROD,1000 t,USA,ALMILK,SSP2,2000,75714.99
OTHU,1000 t,USA,ALMILK,SSP2,2000,5574.463
CONS,1000 t,FSU,ALMILK,SSP2,2000,63224.462
FOOD,1000 t,FSU,ALMILK,SSP2,2000,43673.58
PROD,1000 t,FSU,ALMILK,SSP2,2000,63712.953
OTHU,1000 t,FSU,ALMILK,SSP2,2000,19550.882
CONS,1000 t,BRA,ALMILK,SSP2,2000,22195.96
FOOD,1000 t,BRA,ALMILK,SSP2,2000,19600.423
PROD,1000 t,BRA,ALMILK,SSP2,2000,20607.287
OTHU,1000 t,BRA,ALMILK,SSP2,2000,2595.537
CONS,1000 t,CAN,ALMILK,SSP2,2000,8273.193
FOOD,1000 t,CAN,ALMILK,SSP2,2000,6616.997
PROD,1000 t,CAN,ALMILK,SSP2,2000,8428.199
OTHU,1000 t,CAN,ALMILK,SSP2,2000,1656.196
CONS,1000 t,CHN,ALMILK,SSP2,2000,14522.148
FOOD,1000 t,CHN,ALMILK,SSP2,2000,12754.063
PROD,1000 t,CHN,ALMILK,SSP2,2000,12806.277
OTHU,1000 t,CHN,ALMILK,SSP2,2000,1768.085
CONS,1000 t,IND,ALMILK,SSP2,2000,83771.9
FOOD,1000 t,IND,ALMILK,SSP2,2000,67909.743
PROD,1000 t,IND,ALMILK,SSP2,2000,83337.41
OTHU,1000 t,IND,ALMILK,SSP2,2000,15862.157
CONS,1000 t,WLD,ALMILK,SSP2,2000,586259.064
FOOD,1000 t,WLD,ALMILK,SSP2,2000,480366.763
PROD,1000 t,WLD,ALMILK,SSP2,2000,586259.064
OTHU,1000 t,WLD,ALMILK,SSP2,2000,105892.301
CONS,1000 t,OSA,ALMILK,SSP2,2000,41827.075
FOOD,1000 t,OSA,ALMILK,SSP2,2000,36779.79
PROD,1000 t,OSA,ALMILK,SSP2,2000,38155.961
OTHU,1000 t,OSA,ALMILK,SSP2,2000,5047.285
CONS,1000 t,EUR,ALMILK,SSP2,2000,158898.601
FOOD,1000 t,EUR,ALMILK,SSP2,2000,124507.647
PROD,1000 t,EUR,ALMILK,SSP2,2000,171223.016
OTHU,1000 t,EUR,ALMILK,SSP2,2000,34390.954
CONS,1000 t,MEN,ALMILK,SSP2,2000,34156.077
FOOD,1000 t,MEN,ALMILK,SSP2,2000,27945.997
PROD,1000 t,MEN,ALMILK,SSP2,2000,28276.96
OTHU,1000 t,MEN,ALMILK,SSP2,2000,6210.08
CONS,1000 t,SSA,ALMILK,SSP2,2000,19343.403
FOOD,1000 t,SSA,ALMILK,SSP2,2000,17993.16
PROD,1000 t,SSA,ALMILK,SSP2,2000,17317.83
OTHU,1000 t,SSA,ALMILK,SSP2,2000,1350.243
CONS,1000 t,SEA,ALMILK,SSP2,2000,21500.662
FOOD,1000 t,SEA,ALMILK,SSP2,2000,17502.859
PROD,1000 t,SEA,ALMILK,SSP2,2000,13444.205
OTHU,1000 t,SEA,ALMILK,SSP2,2000,3997.803
CONS,1000 t,OAS,ALMILK,SSP2,2000,30854.505
FOOD,1000 t,OAS,ALMILK,SSP2,2000,25907.07
PROD,1000 t,OAS,ALMILK,SSP2,2000,29635.765
OTHU,1000 t,OAS,ALMILK,SSP2,2000,4947.435
CONS,1000 t,ANZ,BARL,SSP2,2000,3375.196
FEED,1000 t,ANZ,BARL,SSP2,2000,2701.771
FOOD,1000 t,ANZ,BARL,SSP2,2000,247.58
PROD,1000 t,ANZ,BARL,SSP2,2000,6313.948
OTHU,1000 t,ANZ,BARL,SSP2,2000,425.845
CONS,1000 t dm,ANZ,BARL,SSP2,2000,3003.924
FEED,1000 t dm,ANZ,BARL,SSP2,2000,2404.576
FOOD,1000 t dm,ANZ,BARL,SSP2,2000,220.346
PROD,1000 t dm,ANZ,BARL,SSP2,2000,5619.414
OTHU,1000 t dm,ANZ,BARL,SSP2,2000,379.002
CONS,1000 t,USA,BARL,SSP2,2000,6080.855
FEED,1000 t,USA,BARL,SSP2,2000,2942.64
FOOD,1000 t,USA,BARL,SSP2,2000,2958.45
PROD,1000 t,USA,BARL,SSP2,2000,6204.131
OTHU,1000 t,USA,BARL,SSP2,2000,179.765
CONS,1000 t dm,USA,BARL,SSP2,2000,5411.961
FEED,1000 t dm,USA,BARL,SSP2,2000,2618.95
FOOD,1000 t dm,USA,BARL,SSP2,2000,2633.021
PROD,1000 t dm,USA,BARL,SSP2,2000,5521.677
OTHU,1000 t dm,USA,BARL,SSP2,2000,159.99
CONS,1000 t,FSU,BARL,SSP2,2000,26294.64
FEED,1000 t,FSU,BARL,SSP2,2000,23785.262
FOOD,1000 t,FSU,BARL,SSP2,2000,1365.042
PROD,1000 t,FSU,BARL,SSP2,2000,26696.572
OTHU,1000 t,FSU,BARL,SSP2,2000,1144.336
CONS,1000 t dm,FSU,BARL,SSP2,2000,23402.23
FEED,1000 t dm,FSU,BARL,SSP2,2000,21168.883
FOOD,1000 t dm,FSU,BARL,SSP2,2000,1214.888
PROD,1000 t dm,FSU,BARL,SSP2,2000,23759.949
OTHU,1000 t dm,FSU,BARL,SSP2,2000,1018.459
CONS,1000 t,BRA,BARL,SSP2,2000,860.154
FEED,1000 t,BRA,BARL,SSP2,2000,198.917
FOOD,1000 t,BRA,BARL,SSP2,2000,661.237
PROD,1000 t,BRA,BARL,SSP2,2000,287.583
OTHU,1000 t,BRA,BARL,SSP2,2000,0
CONS,1000 t dm,BRA,BARL,SSP2,2000,765.537
FEED,1000 t dm,BRA,BARL,SSP2,2000,177.036
FOOD,1000 t dm,BRA,BARL,SSP2,2000,588.501
PROD,1000 t dm,BRA,BARL,SSP2,2000,255.949
OTHU,1000 t dm,BRA,BARL,SSP2,2000,0
CONS,1000 t,CAN,BARL,SSP2,2000,9654.108
