Taxa,Poultry (Broilers),Poultry (Laying Hens),Ruminants,Sheep,Goats,Swine,Fish,Notes,Source
Brown,,,0.02,,,0.0004,,,https://onlinelibrary.wiley.com/doi/full/10.1111/jpn.13509
Green,0.1,0.1,,,,,,,https://onlinelibrary.wiley.com/doi/full/10.1111/jpn.13509
Asparagopsis taxiformis,,,0.002,,,,,,https://www.sciencedirect.com/science/article/pii/S0959652620308830
Ascophyllum nodosum,,,,,,0.01,,,https://onlinelibrary.wiley.com/doi/full/10.1002/jsfa.3480
Ascophyllum nodosum,,,0.05,,,,,,https://www.sciencedirect.com/science/article/pii/S0377840115300274
Laminaria digitata,,,,0.9,,,,"""suffer from mineral load""",https://www.sciencedirect.com/science/article/pii/S0377840103000531
Laminaria hyperborea,,,,0.9,,,,"""suffer from mineral load""",https://www.sciencedirect.com/science/article/pii/S0377840103000531
Saccharina latissima,,,,0.9,,,,"""suffer from mineral load""",https://www.sciencedirect.com/science/article/pii/S0377840103000531
Macrocystis pyrifera,,,,,0.3,,,,https://www.redalyc.org/pdf/959/95911638010.pdf
Sargassum,,,,0.3,0.3,,,,https://www.sciencedirect.com/science/article/pii/S0377840115300274#bib0310
Ulva lactuca,,,,0.2,,,,,https://www.cambridge.org/core/journals/animal-science/article/note-on-the-nutritive-value-of-ulva-lactuca-for-ruminants/51D4AD1E81AD61BF9AC9B3FE7BC0C7AF
Brown,,,,,,0.02,,at 10% detrimental weight loss was recorded,https://www.sciencedirect.com/science/article/pii/S0377840115300274#bib0060
Sargassum,0.06,,,,,,,,https://www.researchgate.net/profile/Mohammed_Al-Harthi/publication/268175293_THE_USE_OF_BROWN_ALGAE_MEAL_IN_FINISHER_BROILER_DIETS/links/556db1bb08aefcb861d9b8e2/THE-USE-OF-BROWN-ALGAE-MEAL-IN-FINISHER-BROILER-DIETS.pdf
Undaria pinnatifida,0.04,,,,,,,,https://www.koreascience.or.kr/article/JAKO200516036369015.page
Enteromorpha prolifera,0.04,,,,,,,,"https://www.cabdirect.org/cabdirect/abstract/20133246495 ; 
https://www.cabdirect.org/cabdirect/abstract/20113056349"
Ulva lactuca,0.03,,,,,,,higher than 10% leads to lower feed intake and reduced growth rate,"https://www.tandfonline.com/doi/abs/10.4081/ijas.2013.e28 ; 
https://www.sciencedirect.com/science/article/pii/0377840194900833"
Sargassum,,0.12,,,,,,,https://www.cabi.org/Uploads/animal-science/worlds-poultry-science-association/WPSA-finland-2009/50_eggmeat2009_eldeek_EP4.pdf
Sargassum dentifolium,,0.06,,,,,,,https://www.tandfonline.com/doi/abs/10.4081/ijas.2012.e64
Enteromorpha prolifera,,0.03,,,,,,better animal health but decreased FCR,https://www.cabdirect.org/cabdirect/abstract/20133246497
Chondrus crispus,,0.04,,,,,,reduce salmonella,https://www.sciencedirect.com/science/article/pii/S0963996911002067
Alaria esculenta,,,,TRUE,,,,,https://www.sciencedirect.com/science/article/pii/S0377840103000531
Ascophyllum nodosum,,,,TRUE,,,,,https://www.sciencedirect.com/science/article/pii/S0377840103000531
Fucus,,,,TRUE,,,,,https://www.sciencedirect.com/science/article/pii/S0377840103000531
Palmaria palmata,,,,TRUE,,,,,https://www.sciencedirect.com/science/article/pii/S0377840103000531
Green,,,,TRUE,,,,,https://www.sciencedirect.com/science/article/pii/S0377840103000531
