"Taxa","Production min","Production max","class","Source"
"Neopyropia yezoensis",0.8,0.8,"Bangiophyceae","\citep{he_bioremediation_2008}"
"Porphyra umbilicalis",0.8,0.8,"Bangiophyceae","*Mean of Bangiophyceae"
"Asparagopsis armata",14.4,38.1,"Florideophyceae","*Mean of Florideophyceae"
"Asparagopsis taxiformis",14.4,38.1,"Florideophyceae","*Mean of Florideophyceae"
"Chondracanthus chamissoi",14.4,38.1,"Florideophyceae","*Mean of Florideophyceae"
"Chondrus crispus",14.4,38.1,"Florideophyceae","*Mean of Florideophyceae"
"Eucheuma denticulatum",14.4,38.1,"Florideophyceae","*Mean of Florideophyceae"
"Gelidium amansii",14.4,38.1,"Florideophyceae","*Mean of Florideophyceae"
"Gracilaria chilensis",7.6,18,"Florideophyceae","\citep{lee_state_2020,gao_use_1994}"
"Gracilaria gracilis",14.4,38.1,"Florideophyceae","*Mean of Florideophyceae"
"Gracilaria verrucosa",2.7,9.4,"Florideophyceae","\citep{ajjabi_the_2018}"
"Kappaphycus alvarezii",8.3,95.9,"Florideophyceae","\citep{luxton_development_1999}"
"Palmaria palmata",14.4,38.1,"Florideophyceae","*Mean of Florideophyceae"
"Alaria esculenta",19,30,"Phaeophyceae","\citep{njåstad_growth_2020,allen_what_2015}"
"Ascophyllum nodosum",9.6,11.8,"Phaeophyceae","\citep{gao_use_1994}"
"Costaria costata",18,41.7,"Phaeophyceae","*Mean of Phaeophyceae"
"Durvillaea antarctica",18,41.7,"Phaeophyceae","*Mean of Phaeophyceae"
"Eisenia arborea",18,41.7,"Phaeophyceae","*Mean of Phaeophyceae"
"Fucus serratus",18,41.7,"Phaeophyceae","*Mean of Phaeophyceae"
"Fucus vesiculosus",18,41.7,"Phaeophyceae","*Mean of Phaeophyceae"
"Laminaria digitata",2.9,2.9,"Phaeophyceae","\citep{allen_what_2015,seghetta_seaweed_2017}"
"Laminaria hyperborea",30,90,"Phaeophyceae","\citep{allen_what_2015}"
"Macrocystis pyrifera",16.5,50,"Phaeophyceae","\citep{aitken_life_2014,allen_what_2015}"
"Saccharina japonica",31,80,"Phaeophyceae","\citep{allen_what_2015,li_impacts_2018}"
"Saccharina latissima",1.5,36,"Phaeophyceae","\citep{njåstad_growth_2020,allen_what_2015,broch_modelling_2013,seghetta_seaweed_2017}"
"Undaria pinnatifida",18,41.7,"Phaeophyceae","*Mean of Phaeophyceae"
"Caulerpa lentillifera",7.1,34.7,"Ulvophyceae","*Mean of Ulvophyceae"
"Caulerpa racemosa",7.1,34.7,"Ulvophyceae","*Mean of Ulvophyceae"
"Codium fragile",7.1,34.7,"Ulvophyceae","*Mean of Ulvophyceae"
"Ulva clathrata",7.1,34.7,"Ulvophyceae","*Mean of Ulvophyceae"
"Ulva lactuca",7.1,34.7,"Ulvophyceae","\citep{allen_what_2015}"
"Ulva pertusa",7.1,34.7,"Ulvophyceae","*Mean of Ulvophyceae"
"Ulva prolifera",7.1,34.7,"Ulvophyceae","*Mean of Ulvophyceae"
"Ulva reticulata",7.1,34.7,"Ulvophyceae","*Mean of Ulvophyceae"
