"","species","genus","family","order","class","phylum"
"1","Chaetopeltis americana","Chaetopeltis","Chaetopeltidaceae","Chaetopeltidales","Chlorophyceae","Chlorophyta"
"2","Chaetopeltis orbicularis","Chaetopeltis","Chaetopeltidaceae","Chaetopeltidales","Chlorophyceae","Chlorophyta"
"3","Dicranochaete reniformis","Dicranochaete","Chaetopeltidaceae","Chaetopeltidales","Chlorophyceae","Chlorophyta"
"4","Pseudulvella applanata","Pseudulvella","Chaetopeltidaceae","Chaetopeltidales","Chlorophyceae","Chlorophyta"
"5","Pseudulvella consociata","Pseudulvella","Chaetopeltidaceae","Chaetopeltidales","Chlorophyceae","Chlorophyta"
"6","Pseudulvella prostrata","Pseudulvella","Chaetopeltidaceae","Chaetopeltidales","Chlorophyceae","Chlorophyta"
"7","Schizochlamys gelatinosa","Schizochlamys","Chaetopeltidaceae","Chaetopeltidales","Chlorophyceae","Chlorophyta"
"8","Aphanochaete confervicola","Aphanochaete","Aphanochaetaceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"9","Aphanochaete elegans","Aphanochaete","Aphanochaetaceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"10","Aphanochaete polychaete","Aphanochaete","Aphanochaetaceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"11","Aphanochaete repens","Aphanochaete","Aphanochaetaceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"12","Aphanochaete vermiculoides","Aphanochaete","Aphanochaetaceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"13","Chaetonema irregulare","Chaetonema","Aphanochaetaceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"14","Apatococcus lobatus","Apatococcus","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"15","Chaetophoropsis elegans","Chaetophoropsis","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"16","Chaetophoropsis pisiformis","Chaetophoropsis","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"17","Chlorotylium cataractum","Chlorotylium","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"18","Chlorotylium incrustans","Chlorotylium","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"19","Didymosporangium repens","Didymosporangium","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"20","Draparnaldia acuta","Draparnaldia","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"21","Draparnaldia glomerata","Draparnaldia","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"22","Draparnaldia judayi","Draparnaldia","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"23","Draparnaldia mutabilis","Draparnaldia","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"24","Draparnaldia platyzonata","Draparnaldia","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"25","Draparnaldia revenelii","Draparnaldia","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"26","Ectochaete leptochaete","Ectochaete","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"27","Ectochaete perforans","Ectochaete","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"28","Endophyton ramosum","Endophyton","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"29","Gongrosira debaryana","Gongrosira","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"30","Gongrosira lacustris","Gongrosira","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"31","Gongrosira viridis","Gongrosira","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"32","Internoretia fryeana","Internoretia","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
"33","Pleurococcus vulgaris","Pleurococcus","Chaetophoraceae","Chaetophorales","Chlorophyceae","Chlorophyta"
