"Taxa","water content","Source"
"Alaria esculenta",77.5,NA
"Ascophyllum nodosum",89.65,"\citep{Bikker_Evaluation_2020}"
"Asparagopsis armata",81.5,NA
"Asparagopsis taxiformis",81.5,NA
"Caulerpa lentillifera",85,NA
"Caulerpa racemosa",85,NA
"Chondracanthus chamissoi",81.5,NA
"Chondrus crispus",89.1,"\citep{Bikker_Evaluation_2020}"
"Codium fragile",85,NA
"Costaria costata",77.5,NA
"Durvillaea antarctica",77.5,NA
"Eisenia arborea",77.5,NA
"Eucheuma denticulatum",81.5,NA
"Fucus serratus",77.5,NA
"Fucus vesiculosus",77.5,NA
"Gelidium amansii",81.5,NA
"Gracilaria chilensis",81.5,NA
"Gracilaria gracilis",81.5,NA
"Gracilaria verrucosa",81.5,NA
"Kappaphycus alvarezii",83.3333333333333,"\citep{Rama_Seaweed_2018}"
"Laminaria digitata",90.7,"\citep{Bikker_Evaluation_2020}"
"Laminaria hyperborea",77.5,NA
"Macrocystis pyrifera",77.5,NA
"Neopyropia yezoensis",81.5,NA
"Palmaria palmata",94.4,"\citep{Bikker_Evaluation_2020}"
"Porphyra umbilicalis",81.5,NA
"Saccharina japonica",77.5,NA
"Saccharina latissima",88.8,"\citep{Bikker_Evaluation_2020}"
"Ulva clathrata",85,NA
"Ulva lactuca",86.1,"\citep{Bikker_Evaluation_2020}"
"Ulva pertusa",85,NA
"Ulva prolifera",85,NA
"Ulva reticulata",85,NA
"Undaria pinnatifida",77.5,NA
