Genera,Country,Cultured,Captured,Total
,,,,
Caulerpa,Fiji,0,135,135
Caulerpa,Philippines,3928,0,3928
Codium,Korea,855,593,1448
Enteromorpha,China,8900,0,8900
Monostroma,Korea,6002,592,6594
Ulva,Italy,0,800,800
Ulva,Taiwan,0,166,166
Phaeophyceae,,,,
Ahnfeltia,Russia,0,2,2
Ascophyllum,Canada,0,2331,2331
Ascophyllum,Iceland,0,"13,239","13,239"
Ascophyllum,Ireland,0,"28,000","28,000"
Ascophyllum,United States of America,0,7018,7018
Cladosiphon,Tonga,0,344,344
Durvillaea,Australia,0,1923,1923
Durvillaea,Chile,0,2648,2648
Durvillaea,New Zealand,0,1,1
Laminaria,China,"4,895,030",0,"4,895,030"
Laminaria,Denmark,5000,0,5000
Laminaria,France,0,"13,861","13,861"
Laminaria,Iceland,0,4840,4840
Laminaria,Ireland,0,1400,1400
Laminaria,Japan,"34,147","73,068","107,215"
Laminaria,North Korea,"444,300",0,"444,300"
Laminaria,Korea,"308,601",39,"308,640"
Laminaria,Norway,0,"140,336","140,336"
Laminaria,Russia,0,1206,1206
Laminaria,Spain,1,266,267
Lessonia,Chile,0,"316,762","316,762"
Lessonia,New Zealand,0,1,1
Macrocystis,Chile,0,"25,943","25,943"
Macrocystis,Mexico,0,842,842
Macrocystis,New Zealand,0,29,29
Macrocystis,Peru,15,0,15
Macrocystis,United States of America,0,2313,2313
Undaria,China,"1,751,210",0,"1,751,210"
Undaria,Japan,"48,343",0,"48,343"
Undaria,Korea,"339,924",2184,"342,108"
Unknown,Korea,"14,378",2346,"16,724"
Unknown,Russia,1584,5307,6891
Unknown,South Africa,0,"13,675","13,675"
Unknown,United States of America,0,51,51
Rhodophyta,,,,
Callophyllis,Chile,0,1,1
Chondracanthus,Chile,0,1400,1400
Chondracanthus,Peru,131,0,131
Eucheuma,Belize,4,0,4
Eucheuma,Brazil,700,0,700
Eucheuma,China,"95,880",0,"95,880"
Eucheuma,Fiji,500,0,500
Eucheuma,India,4500,0,4500
Eucheuma,Indonesia,"5,738,688",0,"5,738,688"
Eucheuma,Kiribati,8280,0,8280
Eucheuma,Madagascar,1400,0,1400
Eucheuma,Malaysia,"331,490",0,"331,490"
Eucheuma,Myanmar,400,0,400
Eucheuma,Philippines,"1,746,004",0,"1,746,004"
Eucheuma,Saint Lucia,15,0,15
Eucheuma,Solomon Islands,"13,000",0,"13,000"
Eucheuma,Tanzania,6510,456,6966
Eucheuma,Timor-Leste,1500,0,1500
Eucheuma,Vietnam,"184,600",0,"184,600"
Eucheuma,Zanzibar,"150,876",0,"150,876"
Gelidium,Chile,0,135,135
Gelidium,China,4120,0,4120
Gelidium,Madagascar,0,800,800
Gelidium,South Africa,0,834,834
Gelidium,Taiwan,0,39,39
Gigartina,Chile,0,"26,336","26,336"
Gracilaria,Brazil,30,0,30
Gracilaria,Chile,4111,"24,340","28,451"
Gracilaria,China,"1,967,780",0,"1,967,780"
Gracilaria,Namibia,130,0,130
Gracilaria,Philippines,1139,0,1139
Gracilaria,Vietnam,"50,000",0,"50,000"
Mazzaella,Chile,0,1574,1574
Palmaria,Ireland,9,0,9
Porphyra,Chile,0,89,89
Porphyra,China,"1,123,290",0,"1,123,290"
Porphyra,Japan,"341,580",0,"341,580"
Porphyra,Korea,"349,827",35,"349,862"
Porphyra,Taiwan,18,8,26
Pterocladia,New Zealand,0,1133,1133
Sarcothalia,Chile,0,"36,758","36,758"
Sargassum,China,"112,260",0,"112,260"
Unknown,Canada,0,"11,502","11,502"
Unknown,Estonia,0,430,430
Unknown,Indonesia,0,7641,7641
Unknown,Ireland,0,100,100
Unknown,Italy,0,400,400
Unknown,Mexico,0,4883,4883
Unknown,Morocco,0,5150,5150
Unknown,Peru,0,3585,3585
Unknown,Philippines,0,405,405
Unknown,Portugal,0,801,801
Unknown,Senegal,0,1028,1028
Unknown,Spain,0,259,259
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
