Taxa,Use,Country,White and Wilson 2015,https://www.sciencedirect.com/science/article/pii/B9780124186972000027
Chlorophyta,,,,
Acetabularia major,M,Philippines,,
Capsosiphon fulvescens,F,Korea,,
Caulerpa bartlettii,F,Philippines,,
Caulerpa intricatum,F,Philippines,,
Caulerpa lentillifera,"F, M",Philippines,,
Caulerpa peltata,"F, M",Philippines,,
Caulerpa racemosa,F,"Bangladesh, Fiji, Philippines, Vietnam",,
Caulerpa sertularioides,"F, M","Bangladesh, Philippines",,
Caulerpa spp.,F,Malaysia,,
Caulerpa taxifolia,"F, M",Philippines,,
Cladophora spp.,M,Philippines,,
Codium edule,F,Philippines,,
Codium fragile,F,Korea,,
Codium spp.,"F, Ag","Bangladesh, Portugal",,
Codium taylori,F,Israel,,
Dictyosphaeria cavernosa,M,Philippines,,
Enteromorpha clathrata,F,Korea,,
Enteromorpha compressa,"F, M","Korea, Philippines",,
Enteromorpha intestinalis,F,"Japan, Korea",,
Enteromorpha linza,F,Korea,,
Enteromorpha prolifera,F,"Japan, Korea",,
Enteromorpha sp.,F,France,,
Enteromorpha spp.,"F, Ag","Bangladesh, Philippines, Portugal",,
Lola spp.,Ag,Portugal,,
Monostroma grevillei,F,Korea,,
Monostroma nitidum,F,"Japan, Korea",,
Ulva clathrata,F,China,,
Ulva lactuca,F,Vietnam,,
Ulva laetevirens,"Ag, P",Italy,,
Ulva pertusa,"M, F","Philippines, Taiwan",,
Ulva reticulata,F,Vietnam,,
Ulva sp.,F,"Bangladesh, France",,
Ulva spp.,"Co, F, Ag","Brazil, Chile, Japan, Malaysia, Philippines, Portugal",,
Phaeophyceae,,,,
Alaria esculenta,F,"Ireland, United States of America",,
Alaria marginata,"Co, F",Canada,,
Ascophyllum nodosum,"Ag, Al","Canada, France, Iceland, Ireland, Norway, United States of America",,
Chnoospora spp.,F,Bangladesh,,
Cladosiphon okamuranus,F,Japan,,
Cladosiphon sp.,F,Tonga,,
Colpomenia sinuosa,F,Philippines,,
Costaria costata,F,Korea,,
Dictyota spp.,F,Bangladesh,,
Durvillaea antarctica,F,"Chile, New Zealand",,
Durvillaea potatorum,Al,Australia,,
Ecklonia cava,F,Japan,,
Ecklonia maxima,Ag,South Africa,,
Ecklonia stolonifera,F,Korea,,
Egregia menziesii,F,Canada,,
Eisenia arborea,Al,Mexico,,
Fucus distichus subsp. Evanescens,F,Canada,,
Fucus serratus,Al,Ireland,,
Fucus sp.,Ag,France,,
Fucus spp.,Ag,Portugal,,
Fucus vesiculosus,F,Portugal,,
Himanthalia elongata,F,France,,
Hizikia fusiforme,Al,China,,
Hydroclathrus clathratus,F,"Bangladesh, Philippines",,
Laminaria bongardiana,Al,Russia,,
Laminaria digitata,"Al, Ag","Denmark, France, Iceland",,
